Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,2nd_Road_Number,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,DateVals,TimeVals
200701FH68008,525150,177290,-0.199136,51.480675,2,2,1,1,11,E09000013,3,3219,6,30,3,317,4,4,1,1,1,1,E01001882,1037,1214
200701FH68200,524590,178390,-0.206809,51.490685,3,2,1,4,11,E09000013,4,317,6,30,6,4,4,1,1,1,1,1,E01001914,1061,856
200701FH68664,523030,180050,-0.228689,51.505945,3,1,1,6,11,E09000013,3,4020,3,30,0,0,0,4,1,1,1,1,E01001941,1063,1019
200701FH68956,523510,181070,-0.221419,51.515007,2,2,1,5,11,E09000013,3,3220,1,30,1,40,0,1,1,1,1,1,E01002877,1055,714
200701FH68958,522450,180090,-0.237028,51.50643,3,3,1,1,11,E09000013,3,4020,3,30,7,0,0,4,1,1,1,1,E01001954,995,1178
200701KF68977,523040,178370,-0.22913,51.490844,3,2,1,4,11,E09000013,3,4,6,30,0,0,0,1,1,1,1,1,E01001894,1040,444
200701TE00001,522100,180100,-0.242065,51.506596,3,2,1,7,11,E09000013,3,4020,6,30,3,0,0,1,2,2,1,1,E01001861,735,489
200701TE00005,523710,178240,-0.21953,51.48953,2,3,1,5,11,E09000013,6,0,6,30,0,0,0,1,1,1,1,1,E01001889,754,643
200701TE00041,522380,180080,-0.23804,51.506356,2,1,1,1,11,E09000013,3,4020,2,30,0,0,0,4,1,1,1,1,E01001954,792,185
200701TE00074,525220,177950,-0.197895,51.486591,3,2,1,3,11,E09000013,3,3218,6,30,8,0,0,1,1,1,1,1,E01001912,808,515
200701TE00077,522440,178490,-0.237727,51.492053,3,2,1,1,11,E09000013,6,0,2,30,0,0,0,4,1,1,1,1,E01001932,813,361
200701TE00089,523430,179700,-0.223051,51.502712,3,3,1,2,11,E09000013,3,219,6,30,3,0,0,1,1,1,1,1,E01001857,821,529
200701TE00090,522740,180480,-0.232716,51.509873,3,3,1,3,11,E09000013,6,0,6,30,0,0,0,4,1,1,1,1,E01001961,822,1139
